C-SDB_TIT-0;C-W96-0;C-C93-2;F-ANK;F-UEB
197311;W96-1;01;1792;14288
197311;W96-1;02;3845;18901
197311;W96-1;53;2;23
197311;W96-1;12;582;1788
197311;W96-1;05;3;18
197311;W96-1;11;3;3
197311;W96-1;14;8;73
197311;W96-1;15;4;4
197311;W96-1;20;276;392
197311;W96-1;22;26;77
197311;W96-1;23;4;22
197311;W96-1;25;22;46
197311;W96-1;27;6;7
197311;W96-1;29;2;24
197311;W96-1;31;6;69
197311;W96-1;32;58;326
197311;W96-1;34;4;4
197311;W96-1;38;72;202
197311;W96-1;39;16;45
197311;W96-1;16;5;8
197311;W96-1;40;129;146
197311;W96-1;06;1;5
197311;W96-1;35;4;4
197311;W96-2;01;3300;5990
197311;W96-2;02;8219;17911
197311;W96-2;53;45;279
197311;W96-2;12;1968;7366
197311;W96-2;04;6;6
197311;W96-2;05;27;30
197311;W96-2;08;6;6
197311;W96-2;11;16;25
197311;W96-2;13;20;25
197311;W96-2;14;162;188
197311;W96-2;15;37;38
197311;W96-2;30;45;45
197311;W96-2;18;2;2
197311;W96-2;19;5;5
197311;W96-2;20;997;1353
197311;W96-2;21;11;11
197311;W96-2;22;438;1258
197311;W96-2;23;50;70
197311;W96-2;24;4;4
197311;W96-2;25;220;337
197311;W96-2;26;3;7
197311;W96-2;27;9;28
197311;W96-2;28;1;1
197311;W96-2;29;8;10
197311;W96-2;31;32;99
197311;W96-2;32;197;337
197311;W96-2;33;7;91
197311;W96-2;34;1;1
197311;W96-2;17;4;4
197311;W96-2;36;42;64
197311;W96-2;38;17;18
197311;W96-2;39;198;319
197311;W96-2;16;118;148
197311;W96-2;37;5;8
197311;W96-2;40;141;222
197311;W96-2;03;7;7
197311;W96-2;06;50;139
197311;W96-2;35;12;15
197311;W96-3;01;11787;81012
197311;W96-3;02;15564;84191
197311;W96-3;53;101;828
197311;W96-3;12;3399;13200
197311;W96-3;04;5;7
197311;W96-3;05;37;61
197311;W96-3;07;8;84
197311;W96-3;08;18;38
197311;W96-3;11;73;105
197311;W96-3;13;14;22
197311;W96-3;14;89;215
197311;W96-3;15;25;230
197311;W96-3;30;19;55
197311;W96-3;18;1;33
197311;W96-3;19;13;165
197311;W96-3;20;307;586
197311;W96-3;21;3;29
197311;W96-3;22;558;3718
197311;W96-3;23;39;72
197311;W96-3;24;1;1
197311;W96-3;25;167;1032
197311;W96-3;26;19;27
197311;W96-3;27;47;220
197311;W96-3;28;5;15
197311;W96-3;29;19;54
197311;W96-3;31;79;352
197311;W96-3;32;284;1078
197311;W96-3;33;13;33
197311;W96-3;34;6;17
197311;W96-3;17;9;17
197311;W96-3;36;44;99
197311;W96-3;38;108;411
197311;W96-3;39;169;466
197311;W96-3;16;148;410
197311;W96-3;37;1;5
197311;W96-3;40;125;821
197311;W96-3;03;9;9
197311;W96-3;06;41;257
197311;W96-3;35;47;242
197311;W96-4;01;8897;43634
197311;W96-4;02;18646;123446
197311;W96-4;53;195;1032
197311;W96-4;12;6615;38112
197311;W96-4;04;9;30
197311;W96-4;05;32;37
197311;W96-4;07;2;2
197311;W96-4;08;5;15
197311;W96-4;11;49;128
197311;W96-4;13;17;21
197311;W96-4;14;281;532
197311;W96-4;15;49;92
197311;W96-4;30;32;35
197311;W96-4;18;1;1
197311;W96-4;19;2;2
197311;W96-4;20;434;1069
197311;W96-4;21;82;117
197311;W96-4;22;746;4561
197311;W96-4;23;45;93
197311;W96-4;24;3;5
197311;W96-4;25;165;795
197311;W96-4;26;21;49
197311;W96-4;27;104;837
197311;W96-4;28;5;9
197311;W96-4;29;21;68
197311;W96-4;31;96;267
197311;W96-4;32;549;2698
197311;W96-4;33;28;46
197311;W96-4;34;4;7
197311;W96-4;17;10;42
197311;W96-4;36;52;134
197311;W96-4;38;181;686
197311;W96-4;39;201;703
197311;W96-4;16;223;944
197311;W96-4;37;12;14
197311;W96-4;40;134;484
197311;W96-4;03;22;23
197311;W96-4;06;75;224
197311;W96-4;35;59;178
197311;W96-5;01;6115;18788
197311;W96-5;02;18250;67920
197311;W96-5;53;135;913
197311;W96-5;12;12504;37800
197311;W96-5;04;31;58
197311;W96-5;05;236;401
197311;W96-5;07;31;42
197311;W96-5;08;49;109
197311;W96-5;11;261;2253
